Age,Amount,bank,cardType,entry_type,gender,transaction,v1,v2,v3,v4,fraud
58,20.0,Bank1,Master,chip,m,POS,1.3715360490759099,-0.588411402212679,0.0352008723383311,-1.01255991474394,0
38,0.77,Bank0,Master_Debit,chip,m,ATM,-1.27802933625358,1.19707012762303,1.01765657222076,-1.65008829591661,0
37,54.95,Bank5,Master_Debit,INTERNET,m,INTERNET,1.8937953250478101,-0.656073510272944,-0.31387382040690603,0.27993311082200606,0
58,47.98,Bank1,Visa,chip,f,POS,2.09967397705594,-0.872007447799438,-0.754919756920939,-0.5993919740087479,0
35,3.74,Bank10,Master,chip,f,ATM,0.400764466473694,1.84505653746905,-2.06786229192353,1.7577425809599998,0
38,10.0,Bank8,Master_Debit,chip,f,POS,-15.819178720771802,8.7759971528627,-22.8046864614815,11.864868080360699,1
68,2.45,Bank1,Visa,chip,m,ATM,-0.546628275440332,1.28773318262792,1.20974290524722,0.841725499585914,0
66,24.96,Bank9,Master,chip,m,POS,2.11717753817042,-1.25412961411087,-1.81708544262588,-1.92110427520268,0
71,10.0,Bank4,Visa_Debit,internet,m,INTERNET,-1.4108519022308799,2.26827061391536,-2.2975536486931203,1.8713305269078202,1
23,0.89,Bank4,Master,chip,m,POS,2.01985672120056,0.0417669684161161,-1.6239593170521798,0.3548591324378621,0
19,69.99,Bank7,Visa,chip,m,ATM,-0.7907660219493471,-0.183655438934212,2.19131892910846,-1.8218168355845001,0
75,113.0,Bank3,Visa,chip,m,ATM,1.68985398389349,-1.4164196178413502,0.5539852099043759,0.887532056587885,0
40,9.85,Bank2,Visa,chip,f,ATM,-9.191470923549401,7.70840425363979,-5.78661501700328,-2.64227494556171,0
59,53.0,Bank0,Master,magnetic,m,ATM,-5.93277795485543,4.57174320411303,-9.42724692838332,6.577056438112759,1
55,980.1,Bank0,AmEx,magnetic,f,POS,1.2276144135128602,-0.6689737940969539,-0.271784826118016,-0.5894397416355239,1
22,1.78,Bank2,Visa,INTERNET,f,INTERNET,-0.355019681021416,1.30973926330574,-0.486210630433725,-0.621620626701281,0
31,66.62,Bank5,Visa_Debit,chip,f,ATM,1.04756769310737,-1.0477599691054,1.7569036347960503,1.12123702998858,0
61,37.34,Bank0,Visa,magnetic,m,POS,-0.685503301464494,0.37111633913750797,2.29620027950088,-1.15260348115469,0
65,24.99,Bank3,Master_Debit,chip,m,POS,-0.54482327078726,-0.601833332740916,1.94200873062421,-1.82572743143118,0
31,42.81,Bank0,Visa,chip,f,POS,-0.386588705796149,0.9527221869203321,0.18128536410343396,-0.0026522165351739197,0
26,382.24,Bank10,Master,chip,f,POS,0.719262803882221,-2.02414128299625,-1.10606957413076,-1.5178875791070199,0
62,17.67,Bank1,Visa_Debit,chip,m,ATM,-0.65753627655916,0.8179870084243871,1.4064557155298998,-0.34835143260796503,0
76,3.68,Bank0,Visa_Debit,magnetic,m,ATM,0.126342038212747,0.853290106779344,-0.59870494621099,-0.7430778328353169,0
68,64.99,Bank2,Visa,INTERNET,m,INTERNET,1.02937514045028,-0.45062666507750704,1.13559173697924,0.8679177736812621,0
45,14.0,Bank1,Visa_Debit,INTERNET,m,INTERNET,1.97496395117122,-0.209477657540555,-1.07162235084243,1.29973082614353,0
24,7.59,Bank0,Visa,chip,m,ATM,1.92927030439161,0.412459719034224,-1.31699420978517,3.66074963901217,0
51,184.3,Bank1,Visa_Debit,INTERNET,f,INTERNET,0.978427351079299,-0.589380721228298,-0.17218577029751003,0.508101501768472,0
26,626.76,Bank0,Visa,INTERNET,f,INTERNET,0.820680011241063,-2.99469098120438,-1.7194823795934497,-0.243075026344469,0
31,39.32,Bank0,Visa,INTERNET,f,INTERNET,1.15278472043382,-0.325045969224523,0.6674151704938771,-0.8844861420295791,0
68,39.46,Bank9,Master,chip,f,POS,-1.53627672276302,0.20741189986945,1.20571698924448,1.74488938825479,0
37,1.0,Bank2,Visa,magnetic,f,POS,-0.10712333751763399,0.399701060314639,-0.506550004589792,-1.6569960655780198,0
54,19.2,Bank6,Master_Debit,chip,f,POS,-0.160685241138671,0.0915858601350606,1.3075129832811598,-1.06575798317366,0
49,60.86,Bank4,Visa_Debit,chip,m,ATM,1.09781900740063,-0.22869280959792898,0.488935646880183,0.6971308227393851,0
18,99.0,Bank2,Visa_Debit,chip,f,ATM,-0.7887168770499879,1.14315080091,-0.5060544815750491,-0.19731910762223395,0
42,24.05,Bank5,Master_Debit,INTERNET,m,INTERNET,1.31740232434027,-0.106938382651489,-0.0865007562196243,-0.233140406972653,0
67,16.299999999999997,Bank4,Visa,chip,f,ATM,-17.5189091261484,12.572117853538499,-19.0385383213549,11.1908946558522,1
70,4.56,Bank6,Visa,INTERNET,f,INTERNET,-0.7147424228129041,1.295534768942,0.32734575504255703,-0.5223039214840639,0
59,9.99,Bank2,Visa,chip,m,POS,-0.8424962959681441,1.25892335853401,1.2044400540446498,1.2705203884198202,0
59,22.0,Bank1,Visa_Debit,magnetic,m,POS,-1.6394076312452701,-0.6951249452381679,-1.5493819022472302,-0.255572200024893,0
31,40.96,Bank1,Visa_Debit,magnetic,f,POS,0.23005706203534498,1.24354396838223,-1.2513421437739,0.532777287123549,0
77,5.0,Bank2,Visa_Debit,INTERNET,f,INTERNET,-0.763695112484445,0.6274152888794079,0.28722282529152193,-1.8741461003044,0
53,3200.0,Bank7,Visa_Debit,magnetic,f,POS,-1.73933378422429,-1.3046546503544398,0.314102907291187,0.0537401062585881,1
28,2.76,Bank7,Master,chip,f,ATM,1.9866216932043002,0.781285451980421,-1.0261941738055,3.5262168887501697,0
19,4465.04,Bank0,Master_Debit,magnetic,f,POS,-6.59694378986777,-14.2845694061779,-5.7286489349731395,4.80932901960362,0
71,102.45,Bank1,Visa,chip,m,POS,0.95629839277253,-0.27487574089259803,1.27561760432728,1.5527998398332301,0
28,1.6,Bank2,Master,magnetic,m,POS,1.9862377700643798,-0.417366516178829,-0.428524583017618,-0.0404107557836675,0
66,1.0,Bank0,Visa_Debit,INTERNET,m,INTERNET,1.18468265435819,0.266698571803903,0.5992286086826141,1.2865312576231498,0
38,6.03,Bank1,Master,chip,f,POS,1.8817437959526797,1.14491733852176,-1.72223115584185,3.9948943512628,0
60,19.95,Bank2,Visa,chip,m,ATM,2.01572135078769,-0.16902767703602098,-1.7609661736281899,0.42615660249563103,0
45,213.17,Bank2,Visa_Debit,chip,m,POS,0.682581276680024,-1.23751963250369,1.26462786944379,0.632604058169985,0
29,999.9,Bank3,Visa,internet,f,INTERNET,-23.9141008948243,13.7659421584186,-25.7337337663194,6.2909179135006,1
68,24.9,Bank2,Visa,chip,f,POS,2.1582756977359097,-1.9276371768485099,0.681608482564598,-1.15143008929421,0
66,66.39,Bank5,Visa,magnetic,m,POS,2.14493629786804,-1.58725688680733,-0.527337666107383,-1.66409869476604,0
37,0.76,Bank2,Visa_Debit,INTERNET,f,INTERNET,1.19174168071355,0.6034276865607839,-0.562179975770594,0.7010991699369511,0
62,2.22,Bank1,Visa,INTERNET,f,INTERNET,1.26788711980993,-0.6842602814133051,0.58806102126297,-2.10523742969833,0
29,261.5,Bank0,Visa,magnetic,f,ATM,-2.31142436252231,-1.70485869282143,1.40416468735723,1.01448010822127,0
31,6.17,Bank0,Visa,INTERNET,m,INTERNET,-2.5191775004639,-0.778439446195001,-0.512167023062407,0.245448386360776,0
79,1.98,Bank5,Visa_Debit,chip,m,POS,2.06044999706222,-0.136925746434212,-1.08590997734485,0.43030034541632206,0
30,70.0,Bank8,Master,INTERNET,m,INTERNET,1.09412873831363,-1.18004289789453,1.08131344651009,-0.503417200153891,0
68,30.0,Bank11,Master_Debit,INTERNET,f,INTERNET,1.19961574325097,-0.44795179128747703,0.9656477283856709,0.626545812895853,0
41,1.98,Bank2,Visa,magnetic,m,POS,-1.3918374813251901,0.175818191667223,-0.14808225041498002,-0.36820544077676093,0
44,28.61,Bank11,Visa,magnetic,f,POS,-0.730346929305163,1.2949009548688302,-0.0623620381042301,1.1298157433032199,0
37,149.0,Bank3,Master,chip,m,POS,0.806346468134004,-0.30854675405123,0.25261676573290304,1.33800981213286,0
48,16.299999999999997,Bank10,Visa,magnetic,m,POS,-16.308650062507,11.614800542586698,-19.7393862972953,10.463866275400198,1
18,47.6,Bank4,Visa,INTERNET,f,INTERNET,2.11381997914402,0.28256964533794104,-2.94442290048549,0.185868425124466,0
48,71.9,Bank1,Visa_Debit,INTERNET,m,INTERNET,1.01148007824354,-0.154496205031358,-0.39529493703708396,-0.0770317018319174,0
24,15.13,Bank2,Visa,INTERNET,f,INTERNET,-2.117987794226,1.81606217771507,-1.4813062701900601,-3.96092307997062,0
62,155.43,Bank11,Visa,magnetic,f,ATM,-2.09117581834305,-1.5602709379651898,-1.2217113682413898,-1.7045729262719598,0
35,89.99,Bank1,Visa_Debit,INTERNET,m,INTERNET,-0.617552169274171,0.68003640758215,-0.357012140105101,-0.8939244985753259,0
39,105.85,Bank3,Visa_Debit,chip,m,POS,-0.678073340515427,-0.957750477124551,1.25776156421142,-2.0030814003997,0
57,61.44,Bank1,Master,chip,m,POS,-0.197199980379881,1.33899458484272,0.351560943847371,2.88601668547313,0
24,1602.0,Bank1,Visa,magnetic,f,POS,-1.8730919205321699,-5.18470401490861,-1.7575179320109902,0.6891468049695251,0
18,12.99,Bank2,Visa,magnetic,m,POS,1.2148709006893799,0.22143856986957103,0.16361787764585997,0.5132257283332,0
41,175.0,Bank12,Master,chip,f,POS,0.9747306825738491,-0.39762917477567206,-0.290138404400632,0.317158826936451,0
44,1.0,Bank3,Visa,INTERNET,f,INTERNET,1.17446799424641,0.596454829824367,-0.496098966651846,1.1112449062346101,0
52,3119.1000000000004,Bank5,Visa,chip,f,ATM,-6.00342167645829,-3.93073139597263,-0.007045455117280659,1.71466918264498,1
47,29.98,Bank1,Visa,INTERNET,f,INTERNET,2.0107743153884,-0.44153472894222795,-0.633519744627864,0.19561777398362398,0
32,35.95,Bank1,Visa_Debit,INTERNET,m,INTERNET,-1.2305466710971,0.00428685399731385,0.795680836346826,-1.03283205814931,0
43,98.92,Bank2,Visa_Debit,chip,m,ATM,0.99749152612996,-0.545849550612462,1.2119395885059199,0.405635543080306,0
60,28.0,Bank9,Master,chip,m,ATM,1.2574450218325701,0.26374268795846,-0.0786357005227533,0.943695197213619,0
71,0.85,Bank9,Visa,INTERNET,f,INTERNET,-3.21716305802638,2.6900919950255,-0.425232213599479,-1.36117266511116,0
66,10.64,Bank4,Visa,magnetic,f,ATM,-0.7779902868073499,0.414610453030433,1.6638264064259198,-1.1017989513676398,0
28,40.85,Bank1,Visa,magnetic,m,POS,0.984177578610292,-0.193249591212993,1.43013548934358,1.8672298269742098,0
36,7.2,Bank3,Master_Debit,magnetic,m,POS,-0.174948591276992,-0.40905211446202794,2.6155735022963102,-0.456766818925144,0
54,9.99,Bank2,Master,INTERNET,f,INTERNET,1.18770633373201,-0.14101935482820802,0.5634585217979179,0.7663825847744399,0
72,283.32,Bank1,Master_Debit,INTERNET,f,INTERNET,-10.2187139583471,-6.338111737502179,-1.4940633606281102,-0.9431364891712379,0
71,10.0,Bank2,Visa,magnetic,m,ATM,1.24384844934819,0.5245257729025871,-0.5388836260443309,1.20919597418592,1
73,2.0,Bank1,Visa_Debit,INTERNET,f,INTERNET,-4.06554671963566,3.08391236548819,-0.166077484860443,-0.9868411172771221,0
34,1.0,Bank7,Visa_Debit,INTERNET,f,INTERNET,1.30328747130855,1.02396629681794,-3.1875987779498796,0.468391376332885,0
42,82.22,Bank11,Visa,chip,m,POS,0.138780752106322,0.48144942230475896,-0.17608013365323302,-0.631328302486692,0
44,114.5,Bank2,Master_Debit,chip,m,ATM,-1.72762404728272,-0.7259125169538109,0.59758464753109,-1.6207387976570702,0
27,1.29,Bank0,Visa,chip,f,POS,-2.2168276549368,1.5535819200899499,1.35440860542924,-0.6805523368782479,0
69,7.22,Bank0,Visa,chip,f,POS,-0.7694394585075021,1.33600063285343,-1.04368470624755,-0.531575548915104,0
55,35.0,Bank0,Visa,INTERNET,m,INTERNET,1.28366075774257,-0.26398047267261,-0.0726685408826393,0.26602209765992196,0
18,79.99,Bank5,Master_Debit,INTERNET,m,INTERNET,1.81673234304297,-0.6991696117370899,-0.390399109225704,0.339328088818961,0
44,239.0,Bank0,Visa,chip,f,ATM,1.7211928017863798,-1.31179396477174,-1.4703526018520001,-0.0771370341221513,0
19,5.0,Bank6,Visa,INTERNET,m,INTERNET,-0.305102905638199,0.744613545529755,1.22800638144653,-0.796607771253428,0
23,999.9,Bank4,Master_Debit,chip,f,ATM,-15.903635202011301,10.3939171427504,-19.1336024646827,6.18596883540498,1
60,101.14,Bank1,Visa,INTERNET,f,INTERNET,2.05220301642865,-0.871445533125444,-2.1365345826991797,-1.2233848099498899,0
59,0.2,Bank6,Visa,chip,m,POS,-0.165691175169724,1.60000492038271,-0.179388740585849,4.3714045078938595,0
25,10.62,Bank4,Visa,magnetic,f,POS,1.91847267631155,0.496866745812988,-0.618232487942019,3.85188344712363,0
32,15.27,Bank0,Visa_Debit,magnetic,f,POS,-1.86634599008706,2.5404912731525,-1.34214638053853,0.9469302407001121,0
65,260.87,Bank7,Master,magnetic,f,POS,-3.77979435707819,-4.65561268539783,-0.0581274103135081,2.82237777713633,0
32,27.83,Bank3,Visa,INTERNET,f,INTERNET,1.20012511636664,-0.12203910988659,0.543062071277605,0.5768450488123199,0
76,1.79,Bank9,Visa,chip,f,POS,-0.17490322640935901,0.7580961298550899,0.33273504388840397,-1.10472305119928,0
23,32.73,Bank4,Visa_Debit,chip,f,POS,-1.6812744588931599,0.31133623274647304,1.19537479304242,-1.01130809304425,0
55,10.11,Bank3,Visa,chip,f,ATM,-2.15018903514679,2.66436314822659,-2.31658382534727,-0.5995225388459581,0
75,16.0,Bank3,Master,INTERNET,m,INTERNET,-1.9159512883927199,-0.935005606132985,0.852989186306291,-1.2306545198663301,0
50,398.13,Bank1,Visa,chip,f,ATM,0.518744006233707,-1.6770132924137,-0.171533453232807,-1.8681743555738797,0
74,37.9,Bank2,AmEx,internet,f,INTERNET,1.08837493830851,0.8984740237210591,0.394684329076182,3.1702575745145203,1
50,25.95,Bank1,Visa,INTERNET,f,INTERNET,1.95908909676182,-0.417839026188137,-0.552205514001922,-0.0450318502193938,0
63,231.82,Bank4,Master,chip,m,POS,0.840404983354144,-1.31647083507006,-0.18857713515281,-0.47508059847056394,0
61,9.98,Bank4,Master_Debit,INTERNET,m,INTERNET,1.2231498319590102,0.212160145887022,0.7448683420780529,0.9259718384496359,0
61,350.0,Bank8,Master,chip,f,ATM,-2.7490017322049702,-3.7773538981664,2.12433998548206,0.53547581656652,0
57,1956.6,Bank4,Master,magnetic,f,ATM,-6.352336910966559,-2.3703351500766403,-4.87539667887196,2.3350445311619703,1
67,5.95,Bank0,AmEx,chip,m,POS,-1.14030501881525,0.9486961754253641,0.8384034830884379,0.112758683957599,0
73,164.72,Bank0,Visa,chip,f,POS,-0.5494159073959279,-0.0728899162042064,-0.11205869624686601,-0.308675806888002,0
44,2.0,Bank3,Visa,magnetic,m,ATM,1.11980267742491,0.198183703818489,0.526532206567485,1.3197105787443701,0
31,4.49,Bank1,Master,magnetic,f,POS,-1.5224009165554397,1.2619359158007701,0.62046128286402,-0.45905395774327395,0
60,43.85,Bank1,Master,magnetic,f,POS,1.97531675488782,-1.19867402886875,0.210427733369545,-0.5469143388741889,0
76,14.41,Bank0,Visa,INTERNET,m,INTERNET,2.0243461207777,-0.0219825652802566,-1.16464675364257,0.39033376332541897,0
44,148.84,Bank0,Visa_Debit,chip,f,POS,1.6208849662867901,-0.5815407116426651,-1.94917525026,0.429183676948992,0
41,9.36,Bank0,Visa_Debit,chip,f,POS,-0.372832932122531,0.05436184849892201,1.4633009531784902,-2.09453498200092,0
